p:(0.676554,0.596341),h:1,n:45,cr:0.043598;
p:(0.700301,0.567831),h:1,n:57,cr:0.0398346;
p:(0.638409,0.70034),h:1,n:52,cr:0.0370099;
p:(0.666547,0.679911),h:1,n:37,cr:0.0557287;
p:(0.640766,0.59728),h:1,n:39,cr:0.0440963;
p:(0.618925,0.596196),h:1,n:41,cr:0.0336017;
p:(0.576691,0.593211),h:1,n:54,cr:0.0399259;
p:(0.609106,0.627158),h:1,n:46,cr:0.0560479;
p:(0.596899,0.645601),h:1,n:38,cr:0.0463807;
p:(0.747809,0.62891),h:1,n:59,cr:0.0548217;
p:(0.72936,0.638654),h:1,n:66,cr:0.0388409;
p:(0.512535,0.667724),h:1,n:58,cr:0.0432161;
p:(0.593116,0.64822),h:1,n:48,cr:0.046403;
p:(0.552738,0.675255),h:1,n:48,cr:0.0320848;
p:(0.558524,0.623701),h:1,n:63,cr:0.0393899;
